Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"850650 Primary Cells And Batteries, Lithium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","302938201","314580576","167285996","308440295","320322557","23112754","","","","","","","7586"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","45987388","45987388","38713","46001985","46001985","9678","","","","","","","39"
"282520 Lithium Oxide And Hydroxide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","43935753","43935753","1770216","44350185","44350185","366948","","","","","","","76"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","6714154","6695353","8920","6728627","6708826","2230","","","","","","","40"
"282580 Antimony Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","138783496","138810537","0","141711714","141741109","0","","","","","","","372"
"282540 Nickel Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","55618065","55618065","46502002","56086692","56086692","867751","","","","","","","115"
"282550 Copper Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","12669866","12669866","1240731","13204337","13204337","88923","","","","","","","75"
"282540 Nickel Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","64462315","64462315","50669399","65573279","65573279","3563733","","","","","","","118"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","8080911","8080911","0","8089517","8089517","0","","","","","","","26"
"282520 Lithium Oxide And Hydroxide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","33869546","33869546","1513117","34611980","34611980","116454","","","","","","","71"
"282520 Lithium Oxide And Hydroxide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4695238","4695238","457795","4855614","4855614","87403","","","","","","","51"
"282540 Nickel Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","15413677","15413677","6445605","15940758","15940758","1605390","","","","","","","82"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","17946161","17946161","0","17965535","17965535","0","","","","","","","40"
"850511 Permanent Magnets Made Of Metal","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","158422320","154170527","146512944","164536467","160121924","25475348","","","","","","","7233"
"282550 Copper Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","16685349","16685349","1329687","17241365","17241365","62663","","","","","","","102"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","12955406","12955406","0","12966374","12966374","0","","","","","","","34"
"282520 Lithium Oxide And Hydroxide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","18529068","18529068","3353155","18930480","18930480","176099","","","","","","","88"
"282580 Antimony Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","145288480","145253215","0","152342297","152309432","0","","","","","","","465"
"850511 Permanent Magnets Made Of Metal","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","442938764","431109701","369644601","461172412","448776704","7763060","","","","","","","19678"
"282550 Copper Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","13764324","13764324","921281","14380385","14380385","73244","","","","","","","82"
"282580 Antimony Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","119285667","119226127","0","125321837","125266928","0","","","","","","","479"
"850650 Primary Cells And Batteries, Lithium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","141461268","144441690","92131332","145566325","148428727","19677500","","","","","","","3944"
"282540 Nickel Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","32528889","32528889","29676799","32904617","32904617","10476413","","","","","","","98"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","4752880","4752880","178739","4765449","4765449","29321","","","","","","","36"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4530199","4530199","65472","4534149","4534149","0","","","","","","","11"
"282520 Lithium Oxide And Hydroxide","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","10424733","10424733","2190824","10624081","10624081","42195","","","","","","","65"
"850511 Permanent Magnets Made Of Metal","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","412686682","404514901","377349591","427018359","418338007","7920380","","","","","","","18188"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","3370368","3370368","0","3378795","3378795","0","","","","","","","32"
"850650 Primary Cells And Batteries, Lithium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","258445659","262538255","136323825","264444813","268598763","16946118","","","","","","","7029"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","7428388","7428388","0","7441862","7441862","0","","","","","","","36"
"850511 Permanent Magnets Made Of Metal","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","498781538","483662640","453564223","512518913","496548550","9521416","","","","","","","17408"
"282550 Copper Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2021","15979816","15979816","997846","16549129","16549129","48097","","","","","","","90"
"850650 Primary Cells And Batteries, Lithium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","340763122","348140661","146383581","344762379","352251064","16778733","","","","","","","7296"
"282550 Copper Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","8146581","8146581","2182073","8543349","8543349","241614","","","","","","","47"
"282580 Antimony Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","46675394","46692159","6711469","47479697","47498271","229700","","","","","","","202"
"282520 Lithium Oxide And Hydroxide","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2914","2914","2914","3358","3358","399","","","","","","","1"
"282540 Nickel Oxides And Hydroxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2021","3249511","3249511","0","3555529","3555529","0","","","","","","","22"
"282540 Nickel Oxides And Hydroxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2022","5109533","5109533","0","5655660","5655660","0","","","","","","","31"
"282540 Nickel Oxides And Hydroxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2023","4948652","4948652","0","5112790","5112790","0","","","","","","","21"
"282540 Nickel Oxides And Hydroxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2024","1794945","1794945","0","1877656","1877656","0","","","","","","","11"
"282540 Nickel Oxides And Hydroxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1310775","1310775","164690","1347560","1347560","16469","","","","","","","7"
"282580 Antimony Oxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2021","1992500","1992500","0","1992521","1992521","0","","","","","","","21"
"282580 Antimony Oxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2023","2160000","2160000","0","2170536","2170536","0","","","","","","","20"
"282580 Antimony Oxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2024","5400000","5400000","0","5480651","5480651","0","","","","","","","44"
"282580 Antimony Oxides","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12342000","12342000","0","12492416","12492416","0","","","","","","","97"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2022","4823","4823","0","5233","5233","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2021","9815","9815","0","9890","9890","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","ASEAN - Association of Southeast Asian Nations","All Country Subcodes","All Rate Provisions","All Districts","2023","86278","86278","0","87628","87628","0","","","","","","","3"
